,theaterId,street1,city,state,0,1
351,1102,3225 Missouri Blvd,Jefferson City,MO,-92.241463,38.580399
352,1115,13107 40th Road c300,Flushing,NY,-73.83701,40.75585
353,1084,5005 E Marketplace Dr,Flagstaff,AZ,-111.57584,35.223331
354,1136,650 N University Dr,Coral Springs,FL,-80.25539,26.23946
355,1169,1561 S Randall Rd,Algonquin,IL,-88.333092,42.156265
356,1197,1801 Hempstead Road,Lancaster,PA,-76.24735,40.04728
357,1413,25525 Highway 290,Cypress,TX,-95.696732,29.965698
358,1419,6421 Sw 3rd St,Oklahoma City,OK,-97.62691,35.46283
359,1432,230 Towne Center Dr,Compton,CA,-118.2193,33.877201
360,1438,600 Elsinger Blvd,Conway,AR,-92.415306,35.08762
361,1461,2 Galleria Mall Dr,Taunton,MA,-71.051697,41.865547
362,1463,8100 Old Carriage Ct,Shakopee,MN,-93.413391,44.779266
363,146,45575 Dulles Eastern Plz,Sterling,VA,-77.424156,39.024071
364,149,1717 York Rd,Timonium,MD,-76.618835,39.426956
365,1510,6000 Sepulveda Blvd.,Culver City,CA,-118.394938,33.985787
366,163,2643 Housley Rd,Annapolis,MD,-76.555206,38.985939
367,168,7830 Plaza Blvd,Mentor,OH,-81.365799,41.658512
368,180,3333 Preston Rd,Frisco,TX,-96.807182,33.108253
369,17,2101 W 41st St Ste 3,Sioux Falls,SD,-96.753349,43.514053
370,182,3209 E Central Texas Expy,Killeen,TX,-97.708664,31.086962
371,1917,205 West Blackstock Rd,Spartanburg,SC,-81.9949,34.939526
372,1919,260 Exton Square Parkway,Exton,PA,-75.62331,40.030088
373,1938,1201 Boston Post Road,Milford,CT,-73.038087,41.236965
374,1951,3811 South Cooper Street,Arlington,TX,-97.129091,32.68012
375,1952,8251 Flying Cloud Drive,Eden Prairie,MN,-93.42924,44.85472
376,1004,5072 Pinnacle Sq,Birmingham,AL,-86.642662,33.605438
377,1003,45235 Worth Ave.,California,MD,-76.512016,38.29697
378,1012,1207 W Century Ave,Bismarck,ND,-100.81213,46.829876
379,101,25422 El Paseo,Mission Viejo,CA,-117.674814,33.590599
380,1037,312 Newnan Crossing Byp E,Newnan,GA,-84.758972,33.393749
381,1050,1600 Center Rd,Avon,OH,-82.017853,41.466305
382,1071,670 Dawsonville Hwy,Gainesville,GA,-83.853539,34.297371
383,1083,12909 Shops Pkwy,Bee Cave,TX,-97.947754,30.310236
